,Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Critical Cases,Total Cases per Million,Total Deaths per Million,Continent,Population
186,Isle of Man,1587,29,1545,13,1,18583,340,Europe,85402
187,Caribbean Netherlands,1556,15,1465,76,,58888,568,North America,26423
188,Antigua and Barbuda,1232,32,1014,186,1,12496,325,North America,98594
189,Mauritius,1206,17,1055,134,,947,13,Africa,1273502
190,Taiwan,1116,12,1050,54,,47,0.5,Asia,23852199
191,Bhutan,1053,1,951,101,,1352,1,Asia,778568
192,St. Barth,958,1,462,495,,96748,101,North America,9902
193,Faeroe Islands,663,1,661,1,,13526,20,Europe,49015
194,Laos,604,,50,554,,82,,Asia,7361934
195,Cayman Islands,541,2,521,18,,8153,30,North America,66354
196,Tanzania,509,21,183,305,7,8,0.3,Africa,61118549
197,Wallis and Futuna,443,5,44,394,3,39996,451,Australia/Oceania,11076
198,Brunei,224,3,215,6,,508,7,Asia,440912
199,British Virgin Islands,194,1,189,4,,6382,33,North America,30396
200,Dominica,173,,171,2,,2398,,North America,72133
201,Grenada,159,1,155,3,,1408,9,North America,112951
202,New Caledonia,124,,58,66,,431,,Australia/Oceania,287748
203,Fiji,111,2,65,44,,123,2,Australia/Oceania,901774
204,Anguilla,87,,29,58,,5757,,North America,15113
205,Falkland Islands,63,,62,1,,17687,,South America,3562
206,Macao,49,,49,0,,75,,Asia,656579
207,Saint Kitts and Nevis,44,,44,0,,822,,North America,53508
208,Greenland,31,,31,0,,545,,North America,56851
209,Vatican City,27,,15,12,,33624,,Europe,803
210,Saint Pierre Miquelon,25,,25,0,,4332,,North America,5771
211,Montserrat,20,1,19,0,,4005,200,North America,4994
212,Solomon Islands,20,,20,0,,29,,Australia/Oceania,700611
213,Western Sahara,10,1,8,1,,16,2,Africa,609307
214,Vanuatu,4,1,3,0,,13,3,Australia/Oceania,312997
215,Marshall Islands,4,,4,0,,67,,Australia/Oceania,59518
216,Samoa,3,,2,1,,15,,Australia/Oceania,199496
217,Saint Helena,2,,2,0,,328,,Africa,6092
218,Micronesia,1,,1,0,,9,,Australia/Oceania,116011
219,China,90622,4636,85669,317,2,63,3,Asia,1439323776
